name;startDateTime;sales_datetime;end_datetime;min_price;max_price;nameArtist;type;subtype;VenueName;VenueCity;VenueState;links;num_links;spotify_url;seguidores;popularidad;youtube_url;subscriptores;wiki_url;premios;VenueClass;NumGeneros;URL_Wikipedia;Edad;DiasVenta;dias_desde_finVenta;peso_promotor;tiene_lastfm_url;Generos_combinados;conciertos_del_artista_en_ciudad
Jamie Cullum;2024-06-14 20:00:00+00:00;2023-11-30 16:56:00+00:00;2024-06-12 21:59:00+00:00;30.01;59.29;Jamie Cullum;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UCOrI5RFAhBgAGcOzCUVbeNQ'}], 'twitter': [{'url': 'https://twitter.com/jamiecullum'}], 'itunes': [{'url': 'https://music.apple.com/gb/artist/jamie-cullum/6934831'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Jamie_Cullum'}], 'facebook': [{'url': 'https://www.facebook.com/jamiecullum/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/3XxxEq6BREC57nCWXbQZ7o'}], 'musicbrainz': [{'id': 'b10806de-2198-4313-af6a-13df4acb912f'}], 'instagram': [{'url': 'https://www.instagram.com/jamiecullum/'}], 'homepage': [{'url': 'http://www.jamiecullum.com/'}]};9;https://open.spotify.com/artist/3XxxEq6BREC57nCWXbQZ7o;517061.0;55.0;https://www.youtube.com/channel/UCOrI5RFAhBgAGcOzCUVbeNQ;209000.0;https://en.wikipedia.org/wiki/Jamie_Cullum;10.0;0;3;https://es.wikipedia.org/wiki/Jamie_Cullum;44.0;195;1.0;65;0;Jazz;2.0
Sheryl Crow;2024-06-21 20:00:00+00:00;2023-11-28 20:57:00+00:00;2024-06-19 21:59:00+00:00;30.01;80.0;Sheryl Crow;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UC89Lupwwv9ANeuxfDRXo7mQ'}], 'twitter': [{'url': 'https://twitter.com/SherylCrow'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/sheryl-crow/58757'}], 'facebook': [{'url': 'https://www.facebook.com/sherylcrow'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Sheryl_Crow'}], 'spotify': [{'url': 'https://open.spotify.com/artist/4TKTii6gnOnUXQHyuo9JaD'}], 'instagram': [{'url': 'https://www.instagram.com/SherylCrow'}], 'musicbrainz': [{'id': '80ccfede-c258-4575-a7ad-c982e9932e0f'}], 'homepage': [{'url': 'http://www.sherylcrow.com/'}]};9;https://open.spotify.com/artist/4TKTii6gnOnUXQHyuo9JaD;1138312.0;67.0;https://www.youtube.com/channel/UC89Lupwwv9ANeuxfDRXo7mQ;394000.0;https://en.wikipedia.org/wiki/Sheryl_Crow;0.0;0;5;https://es.wikipedia.org/wiki/Sheryl_Crow;62.0;204;1.0;65;0;Rock,Alternative Rock;2.0
Aitana;2024-06-22 20:00:00+00:00;2024-01-09 12:29:00+00:00;2024-06-20 21:59:00+00:00;65.18;146.43;Aitana;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UCtakZatUqY-XaihWfMnz07w'}], 'twitter': [{'url': 'https://mobile.twitter.com/aitanax'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/aitana/1302824608'}], 'spotify': [{'url': 'https://open.spotify.com/artist/7eLcDZDYHXZCebtQmVFL25?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/aitanax/'}]};5;https://open.spotify.com/artist/7eLcDZDYHXZCebtQmVFL25?autoplay=true;2918356.0;72.0;https://www.youtube.com/channel/UCtakZatUqY-XaihWfMnz07w;2380000.0;;;0;3;https://es.wikipedia.org/wiki/Aitana_(cantante);24.0;163;1.0;65;0;Pop,Pop Vocal;7.0
Christian Nodal;2024-07-13 20:00:00+00:00;2023-11-28 21:00:00+00:00;2024-07-11 21:59:00+00:00;30.01;79.29;Christian Nodal;Individual;Musician;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/channel/UCtqOng3GVhQVu1Gl-3UlyAQ'}], 'twitter': [{'url': 'https://twitter.com/elnodal'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/christian-nodal/1079597775'}], 'facebook': [{'url': 'https://www.facebook.com/christiannodaloficialmx'}], 'spotify': [{'url': 'https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP?autoplay=true'}], 'musicbrainz': [{'id': '7f464f95-2410-4040-a88e-1dbe96f17fcd'}], 'instagram': [{'url': 'https://www.instagram.com/nodal'}], 'homepage': [{'url': 'https://www.christiannodal.com/'}]};8;https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP?autoplay=true;14280297.0;81.0;https://www.youtube.com/channel/UCtqOng3GVhQVu1Gl-3UlyAQ;11200000.0;;;0;3;https://es.wikipedia.org/wiki/Christian_Nodal;25.0;226;1.0;65;0;World,Latin;2.0
Take That;2024-07-14 20:00:00+00:00;2023-11-28 21:00:00+00:00;2024-07-12 21:59:00+00:00;55.36;155.36;Robbie Williams;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/user/TakeThatVEVO'}, {'url': 'https://www.youtube.com/user/takeTHAT'}], 'twitter': [{'url': 'https://twitter.com/takethat'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/take-that/13653352'}], 'lastfm': [{'url': 'http://www.last.fm/music/Take+That'}], 'facebook': [{'url': 'https://www.facebook.com/takethat'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Take_That'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true'}], 'instagram': [{'url': 'https://instagram.com/takethat/'}, {'url': 'https://instagram.com/takethat'}], 'musicbrainz': [{'id': '24d2505b-388c-46cc-8a64-48223ea6d78d'}], 'homepage': [{'url': 'http://takethat.com/'}]};10;https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true;1289403.0;65.0;https://www.youtube.com/user/TakeThatVEVO;1716398.4314720812;https://en.wikipedia.org/wiki/Take_That;35.0;0;3;https://es.wikipedia.org/wiki/Robbie_Williams;50.0;227;1.0;65;1;Rock,Pop;4.0
Take That;2024-07-15 20:00:00+00:00;2023-10-24 08:30:00+00:00;2024-07-13 21:59:00+00:00;87.5;119.64;Robbie Williams;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/user/TakeThatVEVO'}, {'url': 'https://www.youtube.com/user/takeTHAT'}], 'twitter': [{'url': 'https://twitter.com/takethat'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/take-that/13653352'}], 'lastfm': [{'url': 'http://www.last.fm/music/Take+That'}], 'facebook': [{'url': 'https://www.facebook.com/takethat'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Take_That'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true'}], 'instagram': [{'url': 'https://instagram.com/takethat/'}, {'url': 'https://instagram.com/takethat'}], 'musicbrainz': [{'id': '24d2505b-388c-46cc-8a64-48223ea6d78d'}], 'homepage': [{'url': 'http://takethat.com/'}]};10;https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true;1289403.0;65.0;https://www.youtube.com/user/TakeThatVEVO;1716398.4314720812;https://en.wikipedia.org/wiki/Take_That;35.0;0;3;https://es.wikipedia.org/wiki/Robbie_Williams;50.0;263;1.0;65;1;Rock,Pop;4.0
Tom Jones;2024-07-23 20:00:00+00:00;2024-01-11 14:40:00+00:00;2024-07-21 21:59:00+00:00;50.89;116.96;Tom Jones;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/user/OfficialTomJones'}], 'twitter': [{'url': 'https://twitter.com/RealSirTomJones'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/tom-jones/85054'}], 'lastfm': [{'url': 'https://www.last.fm/music/Tom+Jones'}], 'facebook': [{'url': 'https://www.facebook.com/SirTomJones/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1T0wRBO0CK0vK8ouUMqEl5?autoplay=true'}], 'musicbrainz': [{'id': '57c6f649-6cde-48a7-8114-2a200247601a'}], 'instagram': [{'url': 'https://www.instagram.com/realsirtomjones/'}], 'homepage': [{'url': 'http://www.tomjones.com/'}]};9;https://open.spotify.com/artist/1T0wRBO0CK0vK8ouUMqEl5?autoplay=true;938336.0;65.0;https://www.youtube.com/user/OfficialTomJones;1716398.4314720812;;;0;2;https://es.wikipedia.org/wiki/Tom_Jones_(cantante);83.0;192;1.0;65;1;Rock,Pop;2.0
Luis Miguel;2024-07-24 19:30:00+00:00;2023-12-04 09:00:00+00:00;2024-07-24 21:00:00+00:00;150.0;6000.0;Luis Miguel;Undefined;Undefined;Concert Music Festival;Chiclana de la Frontera;Cádiz;{'youtube': [{'url': 'https://www.youtube.com/OficialLuisMiguel'}], 'twitter': [{'url': 'https://twitter.com/LMXLM?lang=es'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/luis-miguel/336904'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Luis_Miguel'}], 'facebook': [{'url': 'https://www.facebook.com/luismiguelofficial/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true'}], 'musicbrainz': [{'id': '90270118-8ed0-4446-bf97-8a09b3f9e8f3'}], 'instagram': [{'url': 'https://www.instagram.com/lmxlm/'}], 'homepage': [{'url': 'http://www.luismigueloficial.com/'}]};9;https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true;14968817.0;82.0;https://www.youtube.com/OficialLuisMiguel;1716398.4314720812;https://en.wikipedia.org/wiki/Luis_Miguel;12.0;2;2;https://es.wikipedia.org/wiki/Luis_Miguel;53.0;233;-1.0;1;0;World,Latin;1.0
Diana Krall;2024-07-24 20:00:00+00:00;2023-11-28 21:00:00+00:00;2024-07-22 21:59:00+00:00;30.01;55.0;Diana Krall;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/user/DianaKrallVEVO'}], 'twitter': [{'url': 'http://twitter.com/dianakrall'}], 'lastfm': [{'url': 'http://www.last.fm/music/Diana+Krall'}], 'facebook': [{'url': 'https://www.facebook.com/dianakrall'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Diana_Krall'}], 'musicbrainz': [{'id': '67d2cb7a-9ddb-4a7f-82bf-5a2d1a038e98'}], 'homepage': [{'url': 'http://www.dianakrall.com/'}]};7;;4564084.492307693;60.90461538461538;https://www.youtube.com/user/DianaKrallVEVO;1716398.4314720812;https://en.wikipedia.org/wiki/Diana_Krall;0.0;0;1;https://es.wikipedia.org/wiki/Diana_Krall;59.0;237;1.0;65;1;Jazz;2.0
Luis Miguel;2024-07-31 20:00:00+00:00;2023-11-25 18:51:00+00:00;2024-07-29 21:59:00+00:00;179.46;516.07;Luis Miguel;Undefined;Undefined;Auditorio Starlite;Marbella;Málaga;{'youtube': [{'url': 'https://www.youtube.com/OficialLuisMiguel'}], 'twitter': [{'url': 'https://twitter.com/LMXLM?lang=es'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/luis-miguel/336904'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Luis_Miguel'}], 'facebook': [{'url': 'https://www.facebook.com/luismiguelofficial/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true'}], 'musicbrainz': [{'id': '90270118-8ed0-4446-bf97-8a09b3f9e8f3'}], 'instagram': [{'url': 'https://www.instagram.com/lmxlm/'}], 'homepage': [{'url': 'http://www.luismigueloficial.com/'}]};9;https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true;14968817.0;82.0;https://www.youtube.com/OficialLuisMiguel;1716398.4314720812;https://en.wikipedia.org/wiki/Luis_Miguel;12.0;0;2;https://es.wikipedia.org/wiki/Luis_Miguel;53.0;247;1.0;65;0;World,Latin;6.0
